epoch,G_total,G_l1,G_adv,G_fft,G_vgg,D_total
1,31.328319424947104,31.328319424947104,0.0,0.0,0.0,0.0
2,30.175575131734213,30.175575131734213,0.0,0.0,0.0,0.0
3,29.101227671305338,29.101227671305338,0.0,0.0,0.0,0.0
4,28.439916549682618,28.439916549682618,0.0,0.0,0.0,0.0
5,27.755501846313475,27.755501846313475,0.0,0.0,0.0,0.0
6,27.264624824523924,27.264624824523924,0.0,0.0,0.0,0.0
7,26.853221720377604,26.853221720377604,0.0,0.0,0.0,0.0
8,26.59781816864014,26.59781816864014,0.0,0.0,0.0,0.0
9,26.155519872029622,26.155519872029622,0.0,0.0,0.0,0.0
10,26.118110725402833,26.118110725402833,0.0,0.0,0.0,0.0
11,25.802006525675456,25.802006525675456,0.0,0.0,0.0,0.0
12,25.611050198872885,25.611050198872885,0.0,0.0,0.0,0.0
13,25.337636067708335,25.337636067708335,0.0,0.0,0.0,0.0
14,25.218473775227864,25.218473775227864,0.0,0.0,0.0,0.0
15,25.068729604085288,25.068729604085288,0.0,0.0,0.0,0.0
16,24.880174756368,24.880174756368,0.0,0.0,0.0,0.0
17,24.731922068277996,24.731922068277996,0.0,0.0,0.0,0.0
18,24.575679122924804,24.575679122924804,0.0,0.0,0.0,0.0
19,24.46136284383138,24.46136284383138,0.0,0.0,0.0,0.0
20,24.3631384379069,24.3631384379069,0.0,0.0,0.0,0.0
21,24.296505180358885,24.296505180358885,0.0,0.0,0.0,0.0
22,24.11877244567871,24.11877244567871,0.0,0.0,0.0,0.0
23,24.126264297485353,24.126264297485353,0.0,0.0,0.0,0.0
24,23.96317690785726,23.96317690785726,0.0,0.0,0.0,0.0
25,23.895124000549316,23.895124000549316,0.0,0.0,0.0,0.0
26,23.823046783447264,23.823046783447264,0.0,0.0,0.0,0.0
27,23.7039520111084,23.7039520111084,0.0,0.0,0.0,0.0
28,23.617854548136393,23.617854548136393,0.0,0.0,0.0,0.0
29,23.62556805165609,23.62556805165609,0.0,0.0,0.0,0.0
30,23.44382797495524,23.44382797495524,0.0,0.0,0.0,0.0
31,23.44527784983317,23.44527784983317,0.0,0.0,0.0,0.0
32,23.29966780344645,23.29966780344645,0.0,0.0,0.0,0.0
33,23.293947761535645,23.293947761535645,0.0,0.0,0.0,0.0
34,23.218103113810223,23.218103113810223,0.0,0.0,0.0,0.0
35,23.122072662353517,23.122072662353517,0.0,0.0,0.0,0.0
36,23.02532248433431,23.02532248433431,0.0,0.0,0.0,0.0
37,23.00633447519938,23.00633447519938,0.0,0.0,0.0,0.0
38,22.984992228190105,22.984992228190105,0.0,0.0,0.0,0.0
39,22.965886085510252,22.965886085510252,0.0,0.0,0.0,0.0
40,22.816657862345377,22.816657862345377,0.0,0.0,0.0,0.0
41,22.818369519551595,22.818369519551595,0.0,0.0,0.0,0.0
42,22.669946347554525,22.669946347554525,0.0,0.0,0.0,0.0
43,22.589217308044432,22.589217308044432,0.0,0.0,0.0,0.0
44,22.596277053833006,22.596277053833006,0.0,0.0,0.0,0.0
45,22.568721417744953,22.568721417744953,0.0,0.0,0.0,0.0
46,22.482534061431885,22.482534061431885,0.0,0.0,0.0,0.0
47,22.414302487691245,22.414302487691245,0.0,0.0,0.0,0.0
48,22.370287640889487,22.370287640889487,0.0,0.0,0.0,0.0
49,22.299241198221843,22.299241198221843,0.0,0.0,0.0,0.0
50,22.244386945088703,22.244386945088703,0.0,0.0,0.0,0.0
51,22.399258460998535,22.399258460998535,0.0,0.0,0.0,0.0
52,22.081428644816082,22.081428644816082,0.0,0.0,0.0,0.0
53,22.141429415384927,22.141429415384927,0.0,0.0,0.0,0.0
54,22.01580741373698,22.01580741373698,0.0,0.0,0.0,0.0
55,21.921600509643554,21.921600509643554,0.0,0.0,0.0,0.0
56,21.89986134084066,21.89986134084066,0.0,0.0,0.0,0.0
57,21.72639626820882,21.72639626820882,0.0,0.0,0.0,0.0
58,21.77653035481771,21.77653035481771,0.0,0.0,0.0,0.0
59,21.649025227864584,21.649025227864584,0.0,0.0,0.0,0.0
60,21.536490720113118,21.536490720113118,0.0,0.0,0.0,0.0
61,21.522211313883464,21.522211313883464,0.0,0.0,0.0,0.0
62,21.405535664876304,21.405535664876304,0.0,0.0,0.0,0.0
63,21.347813555399576,21.347813555399576,0.0,0.0,0.0,0.0
64,21.323204116821287,21.323204116821287,0.0,0.0,0.0,0.0
65,21.209911710103352,21.209911710103352,0.0,0.0,0.0,0.0
66,21.18555655670166,21.18555655670166,0.0,0.0,0.0,0.0
67,21.129703289031983,21.129703289031983,0.0,0.0,0.0,0.0
68,21.05393948872884,21.05393948872884,0.0,0.0,0.0,0.0
69,20.972127840677896,20.972127840677896,0.0,0.0,0.0,0.0
70,20.87710412343343,20.87710412343343,0.0,0.0,0.0,0.0
71,20.84583315785726,20.84583315785726,0.0,0.0,0.0,0.0
72,20.78961647796631,20.78961647796631,0.0,0.0,0.0,0.0
73,20.710809361775716,20.710809361775716,0.0,0.0,0.0,0.0
74,20.66095192972819,20.66095192972819,0.0,0.0,0.0,0.0
75,20.617993003845214,20.617993003845214,0.0,0.0,0.0,0.0
76,20.54357373682658,20.54357373682658,0.0,0.0,0.0,0.0
77,20.472369400024412,20.472369400024412,0.0,0.0,0.0,0.0
78,20.388468569437663,20.388468569437663,0.0,0.0,0.0,0.0
79,20.360288317362468,20.360288317362468,0.0,0.0,0.0,0.0
80,20.31837555948893,20.31837555948893,0.0,0.0,0.0,0.0
81,20.260766688028973,20.260766688028973,0.0,0.0,0.0,0.0
82,20.228064272562662,20.228064272562662,0.0,0.0,0.0,0.0
83,20.15755969874064,20.15755969874064,0.0,0.0,0.0,0.0
84,20.104247347513834,20.104247347513834,0.0,0.0,0.0,0.0
85,20.05890037536621,20.05890037536621,0.0,0.0,0.0,0.0
86,20.013122872670493,20.013122872670493,0.0,0.0,0.0,0.0
87,19.955557121276854,19.955557121276854,0.0,0.0,0.0,0.0
88,19.906423617045085,19.906423617045085,0.0,0.0,0.0,0.0
89,19.889137270609538,19.889137270609538,0.0,0.0,0.0,0.0
90,19.81655490366618,19.81655490366618,0.0,0.0,0.0,0.0
91,19.80686962000529,19.80686962000529,0.0,0.0,0.0,0.0
92,19.769242557525637,19.769242557525637,0.0,0.0,0.0,0.0
93,19.714008335113526,19.714008335113526,0.0,0.0,0.0,0.0
94,19.666934608459474,19.666934608459474,0.0,0.0,0.0,0.0
95,19.651825631459555,19.651825631459555,0.0,0.0,0.0,0.0
96,19.63349840927124,19.63349840927124,0.0,0.0,0.0,0.0
97,19.613654535929363,19.613654535929363,0.0,0.0,0.0,0.0
98,19.584380676269532,19.584380676269532,0.0,0.0,0.0,0.0
99,19.57127021153768,19.57127021153768,0.0,0.0,0.0,0.0
100,19.55662925465902,19.55662925465902,0.0,0.0,0.0,0.0
